x,y,z,C,R,G,B
-5.982561, -5.213102, 1.615589, 2, 0.490387, 0.453792, 0.837573
-5.976221, -4.441500, 2.275886, 2, 0.490387, 0.453792, 0.837573
-6.340671, -5.503428, 2.377236, 2, 0.490387, 0.453792, 0.837573
-6.018210, -5.215631, 1.932967, 2, 0.490387, 0.453792, 0.837573
-6.037045, -5.228081, 1.625964, 2, 0.490387, 0.453792, 0.837573
-5.991358, -4.424280, 2.276471, 2, 0.490387, 0.453792, 0.837573
-6.383026, -5.505945, 2.386771, 2, 0.490387, 0.453792, 0.837573
-6.051119, -5.211729, 1.938392, 2, 0.490387, 0.453792, 0.837573
-6.075337, -5.228711, 1.631949, 2, 0.490387, 0.453792, 0.837573
-6.011071, -4.410404, 2.278809, 2, 0.490387, 0.453792, 0.837573
-6.418150, -5.501991, 2.393582, 2, 0.490387, 0.453792, 0.837573
-6.080369, -5.204515, 1.942638, 2, 0.490387, 0.453792, 0.837573
-6.112946, -5.228518, 1.637735, 2, 0.490387, 0.453792, 0.837573
-6.026892, -4.393632, 2.279686, 2, 0.490387, 0.453792, 0.837573
-6.034857, -4.759756, 2.258618, 2, 0.490387, 0.453792, 0.837573
-6.392520, -5.446084, 2.377781, 2, 0.490387, 0.453792, 0.837573
-6.062005, -5.569462, 2.246170, 2, 0.490387, 0.453792, 0.837573
-6.064478, -5.158761, 1.932495, 2, 0.490387, 0.453792, 0.837573
-6.616284, -6.065091, 2.087025, 2, 0.490387, 0.453792, 0.837573
-6.107306, -5.191335, 1.631949, 2, 0.490387, 0.453792, 0.837573
-6.051186, -4.382975, 2.283779, 2, 0.490387, 0.453792, 0.837573
-6.005633, -4.706891, 2.242266, 2, 0.490387, 0.453792, 0.837573
-6.047717, -5.522215, 2.234587, 2, 0.490387, 0.453792, 0.837573
-6.132968, -5.184675, 1.949242, 2, 0.490387, 0.453792, 0.837573
-6.595260, -6.008686, 2.074569, 2, 0.490387, 0.453792, 0.837573
-6.064873, -5.107719, 0.433592, 2, 0.490387, 0.453792, 0.837573
-6.066933, -4.366065, 2.284655, 2, 0.490387, 0.453792, 0.837573
-6.005663, -4.677243, 2.236909, 2, 0.490387, 0.453792, 0.837573
-6.116599, -5.146580, 2.263360, 2, 0.490387, 0.453792, 0.837573
-6.064630, -5.503635, 2.234587, 2, 0.490387, 0.453792, 0.837573
-6.148845, -5.165835, 1.949242, 2, 0.490387, 0.453792, 0.837573
-6.615108, -5.989731, 2.075022, 2, 0.490387, 0.453792, 0.837573
-6.124034, -5.141163, 1.627959, 2, 0.490387, 0.453792, 0.837573
-6.159743, -5.162898, 1.029885, 2, 0.490387, 0.453792, 0.837573
